id,name,price,stock,description,created_at,spec
b0eebc99-9c0b-4ef8-bb6d-6bb9bd380a22,Laptop AI Pro X 2026,25500000.00,15,"Laptop spesifikasi tinggi dengan GPU RTX 4070 dan RAM 32GB, cocok untuk training model AI dan rendering.",2026-05-01 07:58:37.935994+00,"{""cpu"": ""Intel i9-14900HX"", ""gpu"": ""RTX 4070"", ""ram"": ""32GB"", ""ip_rating"": ""N/A (Laptop standard)"", ""cooling"": ""Dual Fan Vapor Chamber""}"
0081e291-5c35-47d8-8f32-75fbfbadf120,Samsung Galaxy A15,2500000.00,80,"Smartphone andalan Samsung dengan layar memanjakan mata. Spesifikasi: Chipset MediaTek Helio G99, RAM 8GB, Storage 256GB, Layar Super AMOLED 6.5 inci 90Hz, Baterai 5000mAh (Fast Charging 25W), Kamera Utama 50MP.",2026-05-06 06:32:02.973311+00,"{""chipset"": ""MediaTek Helio G99"", ""ram"": ""8GB"", ""storage"": ""256GB"", ""display"": ""Super AMOLED 90Hz"", ""ip_rating"": ""N/A (No official rating)"", ""battery"": ""5000mAh""}"
795aa7e2-dc7c-4a56-a761-5886944ecc29,Realme GT Neo 5,6500000.00,29,"Smartphone flagship killer dengan pengecasan super cepat. Spesifikasi: Chipset Snapdragon 8+ Gen 1, RAM 16GB, Storage 1TB, Layar AMOLED 6.74 inci 144Hz, Baterai 4600mAh (Fast Charging 240W), Kamera Utama 50MP OIS.",2026-05-06 06:32:02.973311+00,"{""chipset"": ""Snapdragon 8+ Gen 1"", ""ram"": ""16GB"", ""storage"": ""1TB"", ""display"": ""AMOLED 144Hz"", ""ip_rating"": ""N/A"", ""battery"": ""4600mAh""}"
e6c2ef51-e547-436f-887c-9ac6a9536628,ASUS TUF A15,15500000.00,15,"Laptop gaming kokoh berstandar militer. Spesifikasi: Prosesor AMD Ryzen 7 7735HS, GPU NVIDIA GeForce RTX 4050 6GB GDDR6, RAM 16GB DDR5, Storage 512GB SSD PCIe Gen 4, Layar 15.6 inci FHD 144Hz, Baterai 90Wh.",2026-05-06 06:32:02.973311+00,"{""cpu"": ""Ryzen 7 7735HS"", ""gpu"": ""RTX 4050"", ""ram"": ""16GB"", ""ip_rating"": ""MIL-STD-810H (Military Grade Durability)"", ""battery"": ""90Wh""}"
ba7efbf9-5d9b-4e1f-83fa-a11b837538fe,Poco X6 Pro,4500000.00,44,"Smartphone gaming menengah performa tinggi. Spesifikasi: Chipset MediaTek Dimensity 8300 Ultra, RAM 12GB, Storage 512GB, Layar AMOLED 6.67 inci 120Hz, Baterai 5000mAh (Fast Charging 67W), Kamera Utama 64MP OIS.",2026-05-06 06:32:02.973311+00,"{""chipset"": ""Dimensity 8300 Ultra"", ""ram"": ""12GB"", ""storage"": ""512GB"", ""display"": ""AMOLED 120Hz"", ""ip_rating"": ""IP54 (Dust & Splash resistant)"", ""battery"": ""5000mAh""}"
67c24478-3877-418b-9a10-68a9e818011b,Xiaomi Redmi Note 13,2800000.00,99,"Handphone mid-range terlaris untuk daily use. Spesifikasi: Chipset Snapdragon 685, RAM 8GB, Storage 256GB, Layar AMOLED 6.67 inci 120Hz, Baterai 5000mAh (Fast Charging 33W), Kamera Utama 108MP.",2026-05-06 06:32:02.973311+00,"{""chipset"": ""Snapdragon 685"", ""ram"": ""8GB"", ""storage"": ""256GB"", ""display"": ""AMOLED 120Hz"", ""ip_rating"": ""IP54 (Dust & Splash resistant)"", ""battery"": ""5000mAh""}"
cba0ed47-b517-43d0-9662-6c5f1fdc79e2,Xiaomi Redmi 13C,1500000.00,150,"Handphone entry-level terjangkau berlayar lebar. Spesifikasi: Chipset MediaTek Helio G85, RAM 6GB, Storage 128GB, Layar IPS LCD 6.74 inci 90Hz, Baterai 5000mAh (Fast Charging 18W), Kamera Utama 50MP.",2026-05-06 06:32:02.973311+00,"{""chipset"": ""MediaTek Helio G85"", ""ram"": ""6GB"", ""storage"": ""128GB"", ""display"": ""IPS LCD 90Hz"", ""ip_rating"": ""N/A"", ""battery"": ""5000mAh""}"
20052f29-8dba-4a7b-87a5-cad9217bc491,iPhone 15 Pro,22500000.00,14,iPhone 15 Pro varian storage 1TB untuk profesional content creator.,2026-05-19 05:42:41.173417+00,"{
    ""brand"": ""Apple"",
    ""model"": ""iPhone 15 Pro"",
    ""chipset"": ""Apple A17 Pro"",
    ""cpu"": ""Hexa-core"",
    ""gpu"": ""Apple GPU 6-core"",
    ""ram"": ""8GB"",
    ""storage"": ""1TB"",
    ""display_size"": ""6.1 inch"",
    ""display_type"": ""LTPO Super Retina XDR OLED"",
    ""resolution"": ""1179 x 2556"",
    ""refresh_rate"": ""120Hz ProMotion"",
    ""main_camera"": ""48MP Main + 12MP Ultrawide + 12MP Telephoto"",
    ""front_camera"": ""12MP"",
    ""video_recording"": ""4K 60fps Dolby Vision ProRes"",
    ""battery"": ""3274mAh"",
    ""charging"": ""20W Fast Charging"",
    ""wireless_charging"": ""MagSafe 15W"",
    ""os"": ""iOS 18"",
    ""network"": ""5G"",
    ""wifi"": ""Wi-Fi 6E"",
    ""bluetooth"": ""Bluetooth 5.3"",
    ""nfc"": ""Yes"",
    ""face_unlock"": ""Face ID"",
    ""material"": ""Titanium Frame"",
    ""ip_rating"": ""IP68"",
    ""color"": ""Blue Titanium""
  }"
831828a2-402d-42b7-b174-c18f134af76b,Acer Nitro V 15,13500000.00,18,Laptop gaming Acer Nitro untuk gaming dan editing menengah.,2026-05-19 05:42:41.173417+00,"{
    ""brand"": ""Acer"",
    ""model"": ""Nitro V 15"",
    ""cpu"": ""Intel Core i5-13420H"",
    ""cpu_core"": ""8 Cores 12 Threads"",
    ""cpu_speed"": ""Up to 4.6GHz"",
    ""gpu"": ""NVIDIA RTX 4050 6GB"",
    ""gpu_tgp"": ""95W"",
    ""ram"": ""16GB DDR5"",
    ""storage"": ""512GB NVMe SSD"",
    ""display_size"": ""15.6 inch"",
    ""display_resolution"": ""1920x1080"",
    ""display_refresh_rate"": ""144Hz"",
    ""display_type"": ""IPS"",
    ""keyboard"": ""Backlit Keyboard"",
    ""cooling"": ""Dual Fan Cooling"",
    ""battery"": ""57Wh"",
    ""wifi"": ""Wi-Fi 6"",
    ""bluetooth"": ""Bluetooth 5.2"",
    ""ports"": ""USB-C, HDMI, RJ45 LAN"",
    ""audio"": ""DTS:X Ultra"",
    ""camera"": ""HD Webcam"",
    ""weight"": ""2.1kg"",
    ""os"": ""Windows 11 Home""
  }"
8a1100ec-2632-4a0b-8df4-1f33f8f8b5c7,Samsung Galaxy A15,3200000.00,45,"Samsung Galaxy A15 varian tertinggi dengan RAM 12GB dan storage 512GB. Cocok untuk multitasking berat, gaming casual, dan kebutuhan konten harian.",2026-05-19 05:42:41.173417+00,"{
    ""brand"": ""Samsung"",
    ""model"": ""Galaxy A15"",
    ""chipset"": ""MediaTek Helio G99"",
    ""cpu"": ""Octa-core up to 2.2GHz"",
    ""gpu"": ""Mali-G57 MC2"",
    ""ram"": ""12GB"",
    ""storage"": ""512GB"",
    ""storage_type"": ""UFS 2.2"",
    ""expandable_storage"": ""microSD up to 1TB"",
    ""display_size"": ""6.5 inch"",
    ""display_type"": ""Super AMOLED"",
    ""resolution"": ""1080 x 2340"",
    ""refresh_rate"": ""90Hz"",
    ""main_camera"": ""50MP + 5MP Ultrawide + 2MP Macro"",
    ""front_camera"": ""13MP"",
    ""video_recording"": ""1080p 30fps"",
    ""battery"": ""5000mAh"",
    ""charging"": ""25W Fast Charging"",
    ""os"": ""Android 14"",
    ""network"": ""4G LTE"",
    ""wifi"": ""Wi-Fi 5"",
    ""bluetooth"": ""Bluetooth 5.3"",
    ""nfc"": ""Yes"",
    ""fingerprint"": ""Side Mounted"",
    ""ip_rating"": ""No Official Rating"",
    ""color"": ""Blue Black""
  }"
a3541b48-0c54-4e71-9963-012e317a0177,Xiaomi Redmi Note 13,3500000.00,70,Redmi Note 13 versi RAM 12GB dan storage 512GB dengan layar AMOLED 120Hz dan kamera 108MP.,2026-05-19 05:42:41.173417+00,"{
    ""brand"": ""Xiaomi"",
    ""model"": ""Redmi Note 13"",
    ""chipset"": ""Qualcomm Snapdragon 685"",
    ""cpu"": ""Octa-core up to 2.8GHz"",
    ""gpu"": ""Adreno 610"",
    ""ram"": ""12GB"",
    ""storage"": ""512GB"",
    ""storage_type"": ""UFS 2.2"",
    ""expandable_storage"": ""microSD up to 1TB"",
    ""display_size"": ""6.67 inch"",
    ""display_type"": ""AMOLED"",
    ""resolution"": ""1080 x 2400"",
    ""refresh_rate"": ""120Hz"",
    ""brightness"": ""1800 nits peak"",
    ""main_camera"": ""108MP + 8MP Ultrawide + 2MP Macro"",
    ""front_camera"": ""16MP"",
    ""video_recording"": ""1080p 60fps"",
    ""battery"": ""5000mAh"",
    ""charging"": ""33W Fast Charging"",
    ""os"": ""HyperOS Android 14"",
    ""network"": ""4G LTE"",
    ""wifi"": ""Wi-Fi 5"",
    ""bluetooth"": ""Bluetooth 5.2"",
    ""nfc"": ""Yes"",
    ""audio"": ""Dual Stereo Speaker"",
    ""fingerprint"": ""In Display"",
    ""ip_rating"": ""IP54"",
    ""color"": ""Midnight Black""
  }"
aac13313-fb91-441c-96f0-6082c9713dd1,ASUS TUF A15,18500000.00,10,Laptop gaming ASUS TUF generasi terbaru dengan RTX 4060 dan RAM 32GB.,2026-05-19 05:42:41.173417+00,"{
    ""brand"": ""ASUS"",
    ""model"": ""TUF Gaming A15"",
    ""cpu"": ""AMD Ryzen 9 8945HS"",
    ""cpu_core"": ""8 Cores 16 Threads"",
    ""cpu_speed"": ""Up to 5.2GHz"",
    ""gpu"": ""NVIDIA GeForce RTX 4060 8GB"",
    ""gpu_tgp"": ""140W"",
    ""ram"": ""32GB DDR5"",
    ""ram_upgrade"": ""Up to 64GB"",
    ""storage"": ""1TB NVMe SSD Gen4"",
    ""storage_slot"": ""2x M.2 PCIe"",
    ""display_size"": ""15.6 inch"",
    ""display_resolution"": ""1920x1080"",
    ""display_refresh_rate"": ""165Hz"",
    ""display_color"": ""100% sRGB"",
    ""keyboard"": ""RGB Backlit Keyboard"",
    ""cooling"": ""Dual Fan Arc Flow"",
    ""battery"": ""90Wh"",
    ""wifi"": ""Wi-Fi 6E"",
    ""bluetooth"": ""Bluetooth 5.3"",
    ""ports"": ""USB-C, HDMI 2.1, LAN RJ45, USB-A"",
    ""audio"": ""Dolby Atmos"",
    ""webcam"": ""1080p Camera"",
    ""weight"": ""2.2kg"",
    ""os"": ""Windows 11 Home"",
    ""durability"": ""MIL-STD-810H""
  }"
e0c2a062-c06d-47e7-baaa-41b1bcc37ea4,Poco X6 Pro,5200000.00,34,Poco X6 Pro flagship killer dengan performa gaming tinggi dan storage 1TB.,2026-05-19 05:42:41.173417+00,"{
    ""brand"": ""POCO"",
    ""model"": ""X6 Pro"",
    ""chipset"": ""MediaTek Dimensity 8300 Ultra"",
    ""cpu"": ""Octa-core up to 3.35GHz"",
    ""gpu"": ""Mali-G615 MC6"",
    ""ram"": ""16GB"",
    ""storage"": ""1TB"",
    ""storage_type"": ""UFS 4.0"",
    ""display_size"": ""6.67 inch"",
    ""display_type"": ""AMOLED"",
    ""resolution"": ""1220 x 2712"",
    ""refresh_rate"": ""120Hz"",
    ""touch_sampling_rate"": ""2160Hz"",
    ""main_camera"": ""64MP OIS + 8MP Ultrawide + 2MP Macro"",
    ""front_camera"": ""16MP"",
    ""video_recording"": ""4K 30fps"",
    ""battery"": ""5000mAh"",
    ""charging"": ""67W Turbo Charging"",
    ""cooling_system"": ""LiquidCool Technology 2.0"",
    ""os"": ""HyperOS Android 14"",
    ""network"": ""5G"",
    ""wifi"": ""Wi-Fi 6"",
    ""bluetooth"": ""Bluetooth 5.4"",
    ""nfc"": ""Yes"",
    ""audio"": ""Dual Stereo Speaker Dolby Atmos"",
    ""fingerprint"": ""In Display"",
    ""ip_rating"": ""IP54"",
    ""color"": ""Yellow""
  }"
8587ca0f-f0ee-4396-9f4a-dce2642207a9,Lenovo Legion 5 Pro,21000000.00,12,Laptop gaming premium Lenovo Legion dengan layar 240Hz dan RTX 4070.,2026-05-19 05:42:41.173417+00,"{
    ""brand"": ""Lenovo"",
    ""model"": ""Legion 5 Pro"",
    ""cpu"": ""Intel Core i7-14650HX"",
    ""cpu_core"": ""16 Cores 24 Threads"",
    ""cpu_speed"": ""Up to 5.2GHz"",
    ""gpu"": ""NVIDIA RTX 4070 8GB"",
    ""gpu_tgp"": ""140W"",
    ""ram"": ""32GB DDR5 5600MHz"",
    ""storage"": ""1TB NVMe SSD"",
    ""display_size"": ""16 inch"",
    ""display_resolution"": ""2560x1600 WQXGA"",
    ""display_refresh_rate"": ""240Hz"",
    ""display_brightness"": ""500 nits"",
    ""display_color"": ""100% DCI-P3"",
    ""keyboard"": ""4 Zone RGB Keyboard"",
    ""cooling"": ""ColdFront 5.0"",
    ""battery"": ""80Wh"",
    ""wifi"": ""Wi-Fi 6E"",
    ""bluetooth"": ""Bluetooth 5.3"",
    ""ports"": ""USB-C Thunderbolt 4, HDMI 2.1, LAN"",
    ""audio"": ""Nahimic Audio"",
    ""camera"": ""1080p Webcam"",
    ""weight"": ""2.5kg"",
    ""os"": ""Windows 11 Home""
  }"
c89c5df1-60f5-429b-89c2-e01262e95046,iPhone 15 Pro,18500000.00,20,iPhone 15 Pro varian 256GB dengan material titanium premium.,2026-05-19 05:42:41.173417+00,"{
    ""brand"": ""Apple"",
    ""model"": ""iPhone 15 Pro"",
    ""chipset"": ""Apple A17 Pro"",
    ""cpu"": ""Hexa-core"",
    ""gpu"": ""Apple GPU 6-core"",
    ""ram"": ""8GB"",
    ""storage"": ""256GB"",
    ""display_size"": ""6.1 inch"",
    ""display_type"": ""LTPO Super Retina XDR OLED"",
    ""resolution"": ""1179 x 2556"",
    ""refresh_rate"": ""120Hz ProMotion"",
    ""main_camera"": ""48MP Main + 12MP Ultrawide + 12MP Telephoto"",
    ""front_camera"": ""12MP"",
    ""video_recording"": ""4K 60fps Dolby Vision"",
    ""battery"": ""3274mAh"",
    ""charging"": ""20W Fast Charging"",
    ""wireless_charging"": ""MagSafe 15W"",
    ""os"": ""iOS 18"",
    ""network"": ""5G"",
    ""wifi"": ""Wi-Fi 6E"",
    ""bluetooth"": ""Bluetooth 5.3"",
    ""nfc"": ""Yes"",
    ""face_unlock"": ""Face ID"",
    ""material"": ""Titanium Frame"",
    ""ip_rating"": ""IP68"",
    ""color"": ""Natural Titanium""
  }"